,,,,,,,,,Professor,A,B,C,D,E,MAXCOUNT,PrimaryFactory,Second MAX,Second Factory
Naichen Shi,3,13,3,,1,,20,,Jorge E. Correa,1,1,,1,2,2,E,1,A
naira hovakimyan,2,13,1,2,2,,20,,Sameh Tawfick,3,2,13,,2,13,C,3,A
Nazanin Farjam,6,4,8,,,,18,,Junsoo Kim,7,3,8,,2,8,C,7,A
Neelesh A. Patankar,7,9,3,,1,,20,,Yip-Wah Chung,6,5,7,,2,7,C,6,A
Nenad Miljkovic,6,3,8,,3,,20,,Yonggang Huang,6,5,7,,2,7,C,6,A
Nick G. Glumac,3,6,1,2,8,,20,,Sinan Keten,6,6,6,,2,6,A,6,A
Nikhil Chandra Admal,12,5,3,,,,20,,Iwona Jasiuk,9,3,6,,2,9,A,6,C
Oluwaseyi Balogun,7,5,4,4,,,20,,M Taher A. Saif,12,1,5,,2,12,A,5,C
Paul Fischer,7,2,1,5,5,,20,,William P. King,12,1,5,,2,12,A,5,C
Petia M. Vlahovska,6,8,3,1,2,,20,,Horacio Espinosa,12,2,4,,2,12,A,4,C
Petros Sofronis,12,1,1,,6,,20,,Seid Koric,8,8,2,,2,8,A,8,A
Ping Guo,11,2,3,3,1,,20,,A. Vakakis,10,6,2,,2,10,A,6,B
Placid Ferreira,8,10,1,,1,,20,,Greg Wagner,12,4,2,,2,12,A,4,B
Prashant Mehta,,16,1,,3,,20,,Brenna Argall,7,11,,,2,11,B,7,A
Q. Jane Wang,6,3,8,1,2,,20,,Kevin E. Wandke,,10,,,2,10,B,2,E
Randy H. Ewoldt,10,,7,1,2,,20,,Craig Bradshaw,18,,,,2,18,A,2,E
Richard M. Lueptow,4,3,10,2,1,,20,,Kevin Lynch,7,,,12,1,12,D,7,A
Ryan L. Truby,3,7,4,,6,,20,,Matthew J Major,7,4,4,4,1,7,A,4,B
Sam Kriegman,,14,,,6,,20,,Ping Guo,11,2,3,3,1,11,A,3,C
Sameh Tawfick,3,2,13,,2,,20,,Manohar Kulkarni,15,,1,3,1,15,A,3,D
Sandip Ghosal,2,15,1,2,,,20,,Richard M. Lueptow,4,3,10,2,1,10,C,4,A
Sanjiv Sinha,4,6,6,1,3,,20,,Amy Wagoner Johnson,9,4,4,2,1,9,A,4,B
Sascha Hilgenfeldt,4,9,3,,4,,20,,Arne J. Pearlstein,6,3,10,,1,10,C,6,A
Seid Koric,8,8,2,,2,,20,,Janelle Wharry,15,,4,,1,15,A,4,C
Seth Lichter,5,7,2,,6,,20,,Srinivasa Salapaka,1,15,3,,1,15,B,3,C
Shelby B. Hutchens,9,3,3,,5,,20,,Naichen Shi,3,13,3,,1,13,B,3,A
Sinan Keten,6,6,6,,2,,20,,Neelesh A. Patankar,7,9,3,,1,9,B,7,A
Siyi Xu,,5,8,5,2,,20,,Placid Ferreira,8,10,1,,1,10,B,8,A
Sophie Wang,7,1,,12,,,20,,Sophie Wang,7,1,,12,,12,D,7,A
Sridhar Krishnaswamy,6,7,6,1,,,20,,"Tao Sun, T. Sun",8,2,,10,,10,D,8,A
Srinivasa Salapaka,1,15,3,,1,,20,,Brian S. Mercer,12,,2,6,,12,A,6,D
