model,mse,r2
Random Forest Regressor,0.0005123253947331072,0.9434931981413116
Gradient Boosting Regressor,0.0009551802529942251,0.8946486318067564
Ridge Regression (sklearn),0.0019450000254437327,0.7854766845703125
"Linear (dot product, attr space)",0.20832009613513947,-21.78045654296875
